CERT,ASSET_slope,EQV_slope,RBC1AAJ_slope,NCLNLSR_slope,NPERFV_slope,EEFFR_slope,ROA_slope,LNLSDEPR_slope,EQV_d2y,ROA_d2y,asset_yoy,asset_accel,runway_q,cur_asset,n_quarters,cre_g36,capital_building,credit_turning,growth_accelerating,runway_to_10b,margin_eroding,cre_growth_36m
287,-11085.603,-0.286,0.162,-0.132,-0.09,1.123,-0.005,1.279,1.073,0.639,-0.017,-0.014,,1370973.0,20,0.008,False,False,False,False,False,False
288,755.826,-0.401,0.178,-0.05,-0.009,-0.382,-0.0,6.828,2.11,0.531,0.034,0.047,593.404,68731.0,20,1.288,False,False,False,False,False,True
289,-2279.624,-0.273,0.231,-0.056,0.003,6.971,-0.114,3.801,1.518,0.282,0.013,0.003,1125.075,268052.0,20,-0.012,False,False,False,False,True,False
291,819.516,1.173,1.054,0.032,0.015,-1.852,0.199,2.071,3.316,-0.075,-0.041,-0.108,,170185.0,20,-0.343,True,False,False,False,False,False
292,31228.268,0.114,0.341,-0.051,-0.029,1.998,-0.062,4.195,1.78,0.431,-0.064,-0.046,,1094102.0,20,-0.021,False,False,False,False,False,False
296,7851.065,-0.096,-0.121,0.108,0.095,-0.573,0.024,2.295,1.833,0.171,0.015,-0.008,956.277,289238.0,20,-0.233,False,False,False,False,False,False
297,12896.189,-0.161,0.001,0.033,0.039,-0.731,0.034,2.975,0.119,0.403,0.111,-0.059,142.638,234794.0,20,0.304,False,False,False,False,False,False
303,19558.15,0.039,-0.028,0.006,0.056,-1.121,0.065,3.676,1.025,0.119,0.061,0.004,207.272,459477.0,20,0.14,False,False,False,False,False,False
304,1088.821,-0.492,-0.148,0.018,0.016,0.766,-0.046,3.231,-0.625,0.206,0.033,-0.012,608.714,71459.0,20,-0.496,False,False,False,False,False,False
306,18969.492,0.663,0.97,0.001,-0.035,1.178,-0.03,4.938,1.048,0.708,0.041,0.053,312.853,422161.0,20,0.71,True,False,False,False,False,True
307,14655.302,-0.123,-0.0,0.205,0.064,5.838,-0.495,0.632,2.335,0.757,0.14,0.168,114.883,233304.0,20,0.164,False,True,True,False,True,False
314,-899.389,0.562,0.854,0.114,0.109,-3.841,0.115,5.539,1.856,0.245,-0.019,-0.069,,49577.0,20,0.766,True,False,False,False,False,True
321,1504.223,-0.32,0.233,-0.455,-0.164,9.262,-0.37,0.795,,,,,,151931.0,18,,False,False,False,False,True,False
324,820.277,0.657,0.744,-0.349,-0.233,-0.19,0.101,0.377,0.608,0.307,0.024,-0.031,508.324,486204.0,20,-0.143,False,False,False,False,False,False
327,20275.411,1.37,1.315,0.009,0.036,-1.778,0.046,0.847,0.863,-0.399,-0.019,-0.12,,207215.0,20,-0.148,True,False,False,False,False,False
340,-17303.624,0.944,1.046,-0.092,-0.082,-2.644,0.009,1.406,5.254,-0.38,-0.09,-0.02,,787851.0,20,0.361,True,False,False,False,False,False
342,30639.104,-0.311,-0.031,-0.005,0.006,2.173,-0.122,3.694,2.036,0.762,0.095,0.117,112.509,784823.0,20,0.076,False,False,False,False,False,False
352,-6027.976,0.32,0.35,-0.665,-0.229,1.603,0.026,4.168,1.145,0.293,0.07,0.092,242.616,165140.0,20,0.348,False,False,False,False,False,False
358,-668.129,-0.193,-0.053,0.264,0.085,0.949,0.064,0.647,,,,,,43664.0,15,,False,True,False,False,False,False
363,18683.074,0.315,0.294,-0.165,-0.121,0.309,-0.037,2.967,1.996,0.514,-0.047,-0.014,,536281.0,20,-0.002,False,False,False,False,False,False
384,91743.486,-0.176,-0.1,0.081,0.067,-2.397,0.014,1.482,-0.335,0.268,0.109,0.006,69.123,1663062.0,20,0.676,False,False,False,False,False,True
389,-1869.618,0.301,0.458,0.057,0.032,-1.922,0.04,0.698,1.986,0.449,0.026,0.047,812.786,59214.0,20,-0.243,False,False,False,False,False,False
399,923.591,0.273,0.295,0.434,0.179,-2.558,0.135,-3.646,-0.93,0.632,0.105,0.009,228.034,34324.0,20,,False,True,False,False,False,False
402,-740.189,0.85,1.034,0.092,0.065,-2.955,0.25,5.565,2.106,0.34,0.058,0.026,238.228,339288.0,20,0.371,True,False,False,False,False,False
404,10222.995,-0.351,0.191,0.033,0.036,-0.246,-0.038,3.635,2.043,0.301,0.024,-0.036,648.532,198602.0,20,0.498,False,False,False,False,False,False
406,4661.242,-0.54,-0.305,0.074,0.098,1.633,-0.212,4.913,2.715,0.675,0.016,-0.002,1109.89,114686.0,20,,False,False,False,False,False,False
414,-3101.94,0.993,1.018,0.056,0.029,-0.79,0.066,3.128,2.86,0.6,0.003,-0.008,5402.519,309845.0,20,0.143,True,False,False,False,False,False
