INST_TYPE,CERT,NAME,CITY,STALP,ZIP,ADDRESS,asset_band,asset_musd,n_signals,score,signals,NW_RATIO,NW_RATIO_pct,DELINQ,NCO,LOAN_TO_SHARE,ROA,ROA_pct,EXP_RATIO,MEMBERS,asset_growth_yoy
Credit Union,13741,Beehive,Rexburg,ID,83440,Po Box 40,$250M-$1B,647.7,3,52,credit_deterioration; near_500m_audit; credit_turning,8.93,0.182,1.527,0.157,86.055,2.128,0.711,5.209,34013,0.046
Credit Union,67669,City,Dallas,TX,75228,8344 E R L Thornton Fwy Ste 400,$250M-$1B,629.8,4,57,credit_deterioration; near_500m_audit; credit_turning; capital_building,12.272,0.739,1.227,2.541,56.228,2.186,0.725,7.544,33260,-0.029
Credit Union,68664,Union Square,Wichita Falls,TX,76301,1401 Holliday,$250M-$1B,601.3,3,52,credit_deterioration; near_500m_audit; credit_turning,8.363,0.104,2.687,1.113,79.433,0.719,0.214,8.362,34065,-0.02
Credit Union,24313,Argent,Chesterfield,VA,23832,Post Office Box 72,$250M-$1B,571.8,4,57,rapid_growth; near_500m_audit; credit_turning; capital_building,9.165,0.221,0.75,0.945,64.784,1.972,0.664,6.766,35330,0.101
Credit Union,8550,Freedom Of Maryland,Bel Air,MD,21015,2019 Emmorton Rd,$250M-$1B,557.4,3,52,credit_deterioration; near_500m_audit; credit_turning,8.655,0.136,1.552,1.098,86.288,1.369,0.468,8.416,42688,-0.023
Credit Union,67841,City Of Boston,South Boston,MA,02127,455 West Broadway,$250M-$1B,544.5,3,52,credit_deterioration; near_500m_audit; credit_turning,9.066,0.196,1.951,0.692,78.895,0.776,0.243,6.22,31261,-0.014
Credit Union,68482,Coastlife,Corpus Christi,TX,78414,6810 Saratoga Blvd,$250M-$1B,519.7,3,52,credit_deterioration; near_500m_audit; credit_turning,11.659,0.661,0.891,3.288,73.196,0.861,0.261,7.072,34514,0.015
Credit Union,5547,Security First,Mcallen,TX,78502,P.O. Box 4829,$250M-$1B,516.6,4,57,credit_deterioration; near_500m_audit; credit_turning; capital_building,11.871,0.689,1.324,1.099,87.493,2.522,0.829,8.054,40600,-0.014
Credit Union,60,Levo,Sioux Falls,SD,57117-5735,Po Box 5735,$250M-$1B,516.0,3,52,credit_deterioration; near_500m_audit; credit_turning,11.497,0.632,1.487,1.926,72.292,1.529,0.518,8.237,32939,0.039
Credit Union,24384,Nizari Progressive,Sugar Land,TX,77478-3678,14090 Sw Freeway Suite 260,$250M-$1B,504.8,2,36,rapid_growth; near_500m_audit,9.168,0.225,0.162,0.203,79.083,2.732,0.857,4.286,19403,0.125
Credit Union,24831,Orion,Memphis,TN,38103,400 Monroe Ave,$1B-$3B,1301.0,5,40,excess_capital; weak_efficiency; funding_liquidity; weak_profitability; capital_building,18.421,0.971,0.554,1.022,110.578,0.207,0.048,8.268,70670,0.018
Credit Union,6178,A+,Austin,TX,78761-4867,Po Box 14867,$1B-$3B,2577.5,5,54,excess_capital; credit_deterioration; funding_liquidity; credit_turning; capital_building,13.675,0.852,2.077,3.173,100.379,1.785,0.629,7.28,191614,0.028
Credit Union,66258,Self-help,Durham,NC,27701-3227,301 W. Main St,$1B-$3B,2171.2,4,38,excess_capital; credit_deterioration; funding_liquidity; capital_building,24.513,0.997,1.975,0.411,120.63,2.306,0.806,5.51,101911,0.038
Credit Union,61093,Vibrant,Moline,IL,61265,Po Box 1550,$1B-$3B,1193.1,4,49,credit_deterioration; funding_liquidity; weak_profitability; credit_turning,8.036,0.039,1.586,1.436,100.098,0.464,0.081,5.544,69887,0.039
Credit Union,64171,University,Los Angeles,CA,90025,1500 S Sepulveda Blvd,$1B-$3B,1170.1,5,54,credit_deterioration; funding_liquidity; weak_profitability; credit_turning; capital_building,8.734,0.074,1.452,1.55,100.756,0.051,0.029,6.75,60212,0.017
Credit Union,24985,Heritage Financial,Middletown,NY,10941,25 Rykowski Lane,$250M-$1B,808.0,3,33,credit_deterioration; funding_liquidity; weak_profitability,10.264,0.45,1.614,1.031,99.06,0.466,0.129,7.593,58517,
Credit Union,60790,Town And Country,Minot,ND,58701-4473,615 S Broadway,$250M-$1B,771.1,3,33,excess_capital; credit_deterioration; funding_liquidity,13.058,0.8,1.629,0.087,101.97,1.859,0.625,7.393,26599,0.056
Credit Union,16410,Department Of Commerce,Washington,DC,20044,P.O. Box 14720,$250M-$1B,739.1,4,49,credit_deterioration; funding_liquidity; weak_profitability; credit_turning,5.414,0.004,1.746,3.262,96.962,0.174,0.054,5.862,28919,-0.084
Credit Union,67508,Members Choice,Houston,TX,77094-1395,18211 Katy Fwy,$250M-$1B,720.9,3,33,credit_deterioration; funding_liquidity; weak_profitability,7.832,0.05,0.77,1.942,96.746,0.298,0.075,8.197,45762,-0.031
Credit Union,20448,Proponent,Nutley,NJ,07110,"100 Metro Blvd, 4Th Floor",$250M-$1B,508.8,4,38,excess_capital; funding_liquidity; near_500m_audit; capital_building,14.495,0.9,1.225,0.597,95.316,1.181,0.393,7.763,18605,-0.013
Credit Union,68490,Vystar,Jacksonville,FL,32202-3433,76 S Laura St,$3B+,14274.0,3,49,credit_deterioration; weak_efficiency; credit_turning,8.709,0.089,1.249,2.077,95.997,0.956,0.183,7.061,1024058,0.02
